municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca_id,comarca_munsede
3526704,Leme,6805,Leme,3526704,1
3526803,Lençóis Paulista,6806,Lençóis Paulista,3526803,1
3526902,Limeira,6807,Limeira,3526902,1
3527009,Lindóia,6808,Lindóia,3500501,0
3527108,Lins,6809,Lins,3527108,1
3527207,Lorena,6810,Lorena,3527207,1
3527256,Lourdes,6811,Lourdes,3508108,0
3527306,Louveira,6812,Louveira,3527306,1
3527405,Lucélia,6813,Lucélia,3527405,1
3527504,Lucianópolis,6814,Lucianópolis,3514502,0
3527603,Luiz Antônio,6815,Luís Antônio,3550902,0
3527702,Luiziânia,6816,Luiziânia,3537305,0
3527801,Lupércio,6817,Lupércio,3516705,0
3527900,Lutécia,6818,Lutécia,3535507,0
3528007,Macatuba,6819,Macatuba,3528007,1
3528106,Macaubal,6820,Macaubal,3528106,1
3528205,Macedônia,6821,Macedônia,3515509,0
3528304,Magda,6822,Magda,3532603,0
3528403,Mairinque,6823,Mairinque,3528403,1
3528502,Mairiporã,6824,Mairiporã,3528502,1
3528601,Manduri,6825,Manduri,3538808,0
3528700,Marabá Paulista,6826,Marabá Paulista,3541505,0
3528809,Maracaí,6827,Maracaí,3528809,1
3528858,Marapoama,6828,Marapoama,3521903,0
3528908,Mariápolis,6829,Mariápolis,3500105,0
3529104,Marinópolis,6831,Marinópolis,3535200,0
3529005,Marília,6830,Marília,3529005,1
3529203,Martinópolis,6832,Martinópolis,3529203,1
3529302,Matão,6833,Matão,3529302,1
3529401,Mauá,6834,Mauá,3529401,1
3529500,Mendonça,6835,Mendonça,3525706,0
3529609,Meridiano,6836,Meridiano,3515509,0
3529658,Mesópolis,6837,Mesópolis,3524808,0
3529708,Miguelópolis,6838,Miguelópolis,3529708,1
3529807,Mineiros do Tietê,6839,Mineiros do Tietê,3525300,0
3530003,Mira Estrela,6841,Mira Estrela,3510708,0
3529906,Miracatu,6840,Miracatu,3529906,1
3530102,Mirandópolis,6842,Mirandópolis,3530102,1
3530201,Mirante do Paranapanema,6843,Mirante do Paranapanema,3530201,1
3530300,Mirassol,6844,Mirassol,3530300,1
3530409,Mirassolândia,6845,Mirassolândia,3530300,0
3530508,Mococa,6846,Mococa,3530508,1
3530706,Mogi Guaçu,6848,Mogi Guaçu,3530706,1
3530805,Mogi Mirim,6849,Mogi Mirim,3530805,1
3530607,Mogi das Cruzes,6847,Mogi das Cruzes,3530607,1
3530904,Mombuca,6850,Mombuca,3510401,0
3531001,Monções,6851,Monções,3532603,0
3531100,Mongaguá,6852,Mongaguá,3531100,1
3531209,Monte Alegre do Sul,6853,Monte Alegre do Sul,3501905,0
3531308,Monte Alto,6854,Monte Alto,3531308,1
3531407,Monte Aprazível,6855,Monte Aprazível,3531407,1
3531506,Monte Azul Paulista,6856,Monte Azul Paulista,3531506,1
3531605,Monte Castelo,6857,Monte Castelo,3555109,0
3531803,Monte Mor,6859,Monte Mor,3531803,1
3531704,Monteiro Lobato,6858,Monteiro Lobato,3549904,0
3531902,Morro Agudo,6860,Morro Agudo,3531902,1
3532009,Morungaba,6861,Morungaba,3523404,0
3532058,Motuca,6862,Motuca,3501707,0
3532108,Murutinga do Sul,6863,Murutinga do Sul,3502101,0
3532157,Nantes,6864,Nantes,3519907,0
3532207,Narandiba,6865,Narandiba,3539202,0
3532306,Natividade da Serra,6866,Natividade da Serra,3535606,0
3532405,Nazaré Paulista,6867,Nazaré Paulista,3532405,1
3532504,Neves Paulista,6868,Neves Paulista,3532504,1
3532603,Nhandeara,6869,Nhandeara,3532603,1
3532702,Nipoã,6870,Nipoã,3531407,0
3532801,Nova Aliança,6871,Nova Aliança,3540804,0
3532827,Nova Campina,6872,Nova Campina,3522406,0
3532843,Nova Canaã Paulista,6873,Nova Canaã Paulista,3546603,0
3532868,Nova Castilho,6874,Nova Castilho,3516903,0
3532900,Nova Europa,6875,Nova Europa,3503208,0
3533007,Nova Granada,6876,Nova Granada,3533007,1
3533106,Nova Guataporanga,6877,Nova Guataporanga,3555109,0
3533205,Nova Independência,6878,Nova Independência,3502101,0
